agent_type,subject_ID,modelrun_ID,game_name,game_level,episode_number,event_name,count
DDQN,NA,NA,aliens,1,0,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,0,"('ENDOFSCREEN', 'avatar')",59
DDQN,NA,NA,aliens,1,0,"('alienGreen', 'bomb')",46
DDQN,NA,NA,aliens,1,0,"('base', 'bomb')",21
DDQN,NA,NA,aliens,1,0,"('ENDOFSCREEN', 'bomb')",11
DDQN,NA,NA,aliens,1,0,"('avatar', 'sam')",14
DDQN,NA,NA,aliens,1,0,"('ENDOFSCREEN', 'sam')",12
DDQN,NA,NA,aliens,1,0,"('ENDOFSCREEN', 'alienGreen')",20
DDQN,NA,NA,aliens,1,0,"('alienGreen', 'sam')",6
DDQN,NA,NA,aliens,1,0,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,1,0,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,1,0,"('base', 'sam')",1
DDQN,NA,NA,aliens,1,0,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,1,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,1,"('avatar', 'sam')",20
DDQN,NA,NA,aliens,1,1,"('base', 'sam')",10
DDQN,NA,NA,aliens,1,1,"('ENDOFSCREEN', 'sam')",9
DDQN,NA,NA,aliens,1,1,"('alienGreen', 'bomb')",37
DDQN,NA,NA,aliens,1,1,"('ENDOFSCREEN', 'bomb')",3
DDQN,NA,NA,aliens,1,1,"('ENDOFSCREEN', 'avatar')",8
DDQN,NA,NA,aliens,1,1,"('base', 'bomb')",19
DDQN,NA,NA,aliens,1,1,"('ENDOFSCREEN', 'alienGreen')",16
DDQN,NA,NA,aliens,1,1,"('alienGreen', 'sam')",4
DDQN,NA,NA,aliens,1,1,"('alienGreen', 'base')",4
DDQN,NA,NA,aliens,1,1,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,1,1,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,2,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,2,"('avatar', 'sam')",9
DDQN,NA,NA,aliens,1,2,"('base', 'sam')",3
DDQN,NA,NA,aliens,1,2,"('ENDOFSCREEN', 'sam')",5
DDQN,NA,NA,aliens,1,2,"('ENDOFSCREEN', 'avatar')",14
DDQN,NA,NA,aliens,1,2,"('alienGreen', 'bomb')",25
DDQN,NA,NA,aliens,1,2,"('base', 'bomb')",12
DDQN,NA,NA,aliens,1,2,"('ENDOFSCREEN', 'bomb')",8
DDQN,NA,NA,aliens,1,2,"('ENDOFSCREEN', 'alienGreen')",17
DDQN,NA,NA,aliens,1,2,"('alienGreen', 'sam')",2
DDQN,NA,NA,aliens,1,2,"('alienGreen', 'base')",6
DDQN,NA,NA,aliens,1,2,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,1,2,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,3,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,3,"('avatar', 'sam')",12
DDQN,NA,NA,aliens,1,3,"('base', 'sam')",6
DDQN,NA,NA,aliens,1,3,"('alienGreen', 'bomb')",36
DDQN,NA,NA,aliens,1,3,"('base', 'bomb')",16
DDQN,NA,NA,aliens,1,3,"('ENDOFSCREEN', 'bomb')",11
DDQN,NA,NA,aliens,1,3,"('ENDOFSCREEN', 'alienGreen')",17
DDQN,NA,NA,aliens,1,3,"('ENDOFSCREEN', 'avatar')",18
DDQN,NA,NA,aliens,1,3,"('alienGreen', 'sam')",3
DDQN,NA,NA,aliens,1,3,"('ENDOFSCREEN', 'sam')",5
DDQN,NA,NA,aliens,1,3,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,1,3,"('bomb', 'sam')",5
DDQN,NA,NA,aliens,1,3,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,4,"('alienGreen', 'portalFast')",70
DDQN,NA,NA,aliens,1,4,"('avatar', 'sam')",12
DDQN,NA,NA,aliens,1,4,"('base', 'sam')",7
DDQN,NA,NA,aliens,1,4,"('alienGreen', 'bomb')",11
DDQN,NA,NA,aliens,1,4,"('base', 'bomb')",7
DDQN,NA,NA,aliens,1,4,"('ENDOFSCREEN', 'sam')",4
DDQN,NA,NA,aliens,1,4,"('ENDOFSCREEN', 'bomb')",1
DDQN,NA,NA,aliens,1,4,"('ENDOFSCREEN', 'alienGreen')",3
DDQN,NA,NA,aliens,1,4,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,1,4,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,5,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,5,"('avatar', 'sam')",16
DDQN,NA,NA,aliens,1,5,"('base', 'sam')",10
DDQN,NA,NA,aliens,1,5,"('alienGreen', 'bomb')",22
DDQN,NA,NA,aliens,1,5,"('base', 'bomb')",11
DDQN,NA,NA,aliens,1,5,"('ENDOFSCREEN', 'avatar')",10
DDQN,NA,NA,aliens,1,5,"('ENDOFSCREEN', 'alienGreen')",11
DDQN,NA,NA,aliens,1,5,"('alienGreen', 'sam')",4
DDQN,NA,NA,aliens,1,5,"('ENDOFSCREEN', 'sam')",5
DDQN,NA,NA,aliens,1,5,"('ENDOFSCREEN', 'bomb')",3
DDQN,NA,NA,aliens,1,5,"('alienGreen', 'base')",1
DDQN,NA,NA,aliens,1,5,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,1,5,"('portalFast', 'sam')",1
DDQN,NA,NA,aliens,1,5,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,6,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,6,"('avatar', 'sam')",66
DDQN,NA,NA,aliens,1,6,"('base', 'sam')",12
DDQN,NA,NA,aliens,1,6,"('alienGreen', 'bomb')",112
DDQN,NA,NA,aliens,1,6,"('base', 'bomb')",28
DDQN,NA,NA,aliens,1,6,"('alienGreen', 'sam')",18
DDQN,NA,NA,aliens,1,6,"('ENDOFSCREEN', 'sam')",54
DDQN,NA,NA,aliens,1,6,"('ENDOFSCREEN', 'alienGreen')",53
DDQN,NA,NA,aliens,1,6,"('ENDOFSCREEN', 'bomb')",57
DDQN,NA,NA,aliens,1,6,"('bomb', 'sam')",5
DDQN,NA,NA,aliens,1,6,"('ENDOFSCREEN', 'avatar')",46
DDQN,NA,NA,aliens,1,6,"('alienGreen', 'base')",1
DDQN,NA,NA,aliens,1,6,"('alienGreen', 'avatar')",1
DDQN,NA,NA,aliens,1,7,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,7,"('avatar', 'sam')",29
DDQN,NA,NA,aliens,1,7,"('base', 'sam')",17
DDQN,NA,NA,aliens,1,7,"('alienGreen', 'bomb')",65
DDQN,NA,NA,aliens,1,7,"('base', 'bomb')",20
DDQN,NA,NA,aliens,1,7,"('alienGreen', 'sam')",12
DDQN,NA,NA,aliens,1,7,"('ENDOFSCREEN', 'sam')",12
DDQN,NA,NA,aliens,1,7,"('ENDOFSCREEN', 'alienGreen')",33
DDQN,NA,NA,aliens,1,7,"('ENDOFSCREEN', 'bomb')",25
DDQN,NA,NA,aliens,1,7,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,1,7,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,1,7,"('ENDOFSCREEN', 'avatar')",10
DDQN,NA,NA,aliens,1,7,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,8,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,8,"('avatar', 'sam')",13
DDQN,NA,NA,aliens,1,8,"('base', 'sam')",4
DDQN,NA,NA,aliens,1,8,"('alienGreen', 'bomb')",32
DDQN,NA,NA,aliens,1,8,"('bomb', 'sam')",3
DDQN,NA,NA,aliens,1,8,"('ENDOFSCREEN', 'bomb')",10
DDQN,NA,NA,aliens,1,8,"('alienGreen', 'sam')",7
DDQN,NA,NA,aliens,1,8,"('ENDOFSCREEN', 'sam')",8
DDQN,NA,NA,aliens,1,8,"('base', 'bomb')",14
DDQN,NA,NA,aliens,1,8,"('ENDOFSCREEN', 'alienGreen')",20
DDQN,NA,NA,aliens,1,8,"('alienGreen', 'base')",5
DDQN,NA,NA,aliens,1,8,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,9,"('alienGreen', 'portalFast')",83
DDQN,NA,NA,aliens,1,9,"('avatar', 'sam')",11
DDQN,NA,NA,aliens,1,9,"('base', 'sam')",9
DDQN,NA,NA,aliens,1,9,"('alienGreen', 'bomb')",12
DDQN,NA,NA,aliens,1,9,"('base', 'bomb')",5
DDQN,NA,NA,aliens,1,9,"('ENDOFSCREEN', 'bomb')",2
DDQN,NA,NA,aliens,1,9,"('alienGreen', 'sam')",2
DDQN,NA,NA,aliens,1,9,"('ENDOFSCREEN', 'sam')",2
DDQN,NA,NA,aliens,1,9,"('ENDOFSCREEN', 'alienGreen')",4
DDQN,NA,NA,aliens,1,9,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,10,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,10,"('avatar', 'sam')",10
DDQN,NA,NA,aliens,1,10,"('base', 'sam')",6
DDQN,NA,NA,aliens,1,10,"('ENDOFSCREEN', 'sam')",4
DDQN,NA,NA,aliens,1,10,"('alienGreen', 'bomb')",31
DDQN,NA,NA,aliens,1,10,"('base', 'bomb')",15
DDQN,NA,NA,aliens,1,10,"('ENDOFSCREEN', 'alienGreen')",11
DDQN,NA,NA,aliens,1,10,"('ENDOFSCREEN', 'bomb')",5
DDQN,NA,NA,aliens,1,10,"('alienGreen', 'sam')",3
DDQN,NA,NA,aliens,1,10,"('bomb', 'sam')",3
DDQN,NA,NA,aliens,1,10,"('alienGreen', 'base')",1
DDQN,NA,NA,aliens,1,10,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,11,"('alienGreen', 'portalFast')",115
DDQN,NA,NA,aliens,1,11,"('avatar', 'sam')",13
DDQN,NA,NA,aliens,1,11,"('base', 'sam')",5
DDQN,NA,NA,aliens,1,11,"('alienGreen', 'bomb')",23
DDQN,NA,NA,aliens,1,11,"('base', 'bomb')",15
DDQN,NA,NA,aliens,1,11,"('alienGreen', 'sam')",7
DDQN,NA,NA,aliens,1,11,"('ENDOFSCREEN', 'sam')",7
DDQN,NA,NA,aliens,1,11,"('ENDOFSCREEN', 'bomb')",3
DDQN,NA,NA,aliens,1,11,"('ENDOFSCREEN', 'alienGreen')",8
DDQN,NA,NA,aliens,1,11,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,1,11,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,12,"('alienGreen', 'portalFast')",119
DDQN,NA,NA,aliens,1,12,"('avatar', 'sam')",38
DDQN,NA,NA,aliens,1,12,"('base', 'sam')",17
DDQN,NA,NA,aliens,1,12,"('alienGreen', 'bomb')",111
DDQN,NA,NA,aliens,1,12,"('base', 'bomb')",22
DDQN,NA,NA,aliens,1,12,"('alienGreen', 'sam')",14
DDQN,NA,NA,aliens,1,12,"('ENDOFSCREEN', 'sam')",21
DDQN,NA,NA,aliens,1,12,"('ENDOFSCREEN', 'bomb')",49
DDQN,NA,NA,aliens,1,12,"('ENDOFSCREEN', 'alienGreen')",48
DDQN,NA,NA,aliens,1,12,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,1,12,"('ENDOFSCREEN', 'avatar')",6
DDQN,NA,NA,aliens,1,12,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,13,"('alienGreen', 'portalFast')",105
DDQN,NA,NA,aliens,1,13,"('avatar', 'sam')",13
DDQN,NA,NA,aliens,1,13,"('base', 'sam')",9
DDQN,NA,NA,aliens,1,13,"('alienGreen', 'bomb')",22
DDQN,NA,NA,aliens,1,13,"('base', 'bomb')",12
DDQN,NA,NA,aliens,1,13,"('alienGreen', 'sam')",2
DDQN,NA,NA,aliens,1,13,"('ENDOFSCREEN', 'sam')",4
DDQN,NA,NA,aliens,1,13,"('ENDOFSCREEN', 'bomb')",5
DDQN,NA,NA,aliens,1,13,"('ENDOFSCREEN', 'alienGreen')",7
DDQN,NA,NA,aliens,1,13,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,1,13,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,14,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,14,"('avatar', 'sam')",32
DDQN,NA,NA,aliens,1,14,"('base', 'sam')",11
DDQN,NA,NA,aliens,1,14,"('alienGreen', 'sam')",19
DDQN,NA,NA,aliens,1,14,"('ENDOFSCREEN', 'sam')",20
DDQN,NA,NA,aliens,1,14,"('alienGreen', 'bomb')",47
DDQN,NA,NA,aliens,1,14,"('ENDOFSCREEN', 'alienGreen')",38
DDQN,NA,NA,aliens,1,14,"('base', 'bomb')",23
DDQN,NA,NA,aliens,1,14,"('ENDOFSCREEN', 'bomb')",18
DDQN,NA,NA,aliens,1,14,"('alienGreen', 'base')",6
DDQN,NA,NA,aliens,1,14,"('ENDOFSCREEN', 'avatar')",11
DDQN,NA,NA,aliens,1,14,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,15,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,15,"('avatar', 'sam')",29
DDQN,NA,NA,aliens,1,15,"('base', 'sam')",4
DDQN,NA,NA,aliens,1,15,"('alienGreen', 'bomb')",82
DDQN,NA,NA,aliens,1,15,"('base', 'bomb')",31
DDQN,NA,NA,aliens,1,15,"('ENDOFSCREEN', 'bomb')",26
DDQN,NA,NA,aliens,1,15,"('ENDOFSCREEN', 'sam')",25
DDQN,NA,NA,aliens,1,15,"('ENDOFSCREEN', 'alienGreen')",45
DDQN,NA,NA,aliens,1,15,"('alienGreen', 'sam')",12
DDQN,NA,NA,aliens,1,15,"('ENDOFSCREEN', 'avatar')",23
DDQN,NA,NA,aliens,1,15,"('alienGreen', 'base')",6
DDQN,NA,NA,aliens,1,15,"('bomb', 'sam')",3
DDQN,NA,NA,aliens,1,15,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,16,"('alienGreen', 'portalFast')",66
DDQN,NA,NA,aliens,1,16,"('avatar', 'sam')",13
DDQN,NA,NA,aliens,1,16,"('base', 'sam')",8
DDQN,NA,NA,aliens,1,16,"('alienGreen', 'bomb')",9
DDQN,NA,NA,aliens,1,16,"('base', 'bomb')",4
DDQN,NA,NA,aliens,1,16,"('ENDOFSCREEN', 'sam')",4
DDQN,NA,NA,aliens,1,16,"('ENDOFSCREEN', 'bomb')",2
DDQN,NA,NA,aliens,1,16,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,1,16,"('ENDOFSCREEN', 'alienGreen')",2
DDQN,NA,NA,aliens,1,16,"('alienGreen', 'sam')",1
DDQN,NA,NA,aliens,1,16,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,17,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,17,"('avatar', 'sam')",27
DDQN,NA,NA,aliens,1,17,"('base', 'sam')",15
DDQN,NA,NA,aliens,1,17,"('alienGreen', 'bomb')",31
DDQN,NA,NA,aliens,1,17,"('ENDOFSCREEN', 'sam')",11
DDQN,NA,NA,aliens,1,17,"('base', 'bomb')",16
DDQN,NA,NA,aliens,1,17,"('alienGreen', 'sam')",9
DDQN,NA,NA,aliens,1,17,"('ENDOFSCREEN', 'alienGreen')",13
DDQN,NA,NA,aliens,1,17,"('bomb', 'sam')",3
DDQN,NA,NA,aliens,1,17,"('ENDOFSCREEN', 'avatar')",6
DDQN,NA,NA,aliens,1,17,"('ENDOFSCREEN', 'bomb')",10
DDQN,NA,NA,aliens,1,17,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,1,17,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,18,"('alienGreen', 'portalFast')",110
DDQN,NA,NA,aliens,1,18,"('avatar', 'sam')",15
DDQN,NA,NA,aliens,1,18,"('base', 'sam')",10
DDQN,NA,NA,aliens,1,18,"('alienGreen', 'bomb')",25
DDQN,NA,NA,aliens,1,18,"('ENDOFSCREEN', 'sam')",4
DDQN,NA,NA,aliens,1,18,"('base', 'bomb')",8
DDQN,NA,NA,aliens,1,18,"('ENDOFSCREEN', 'alienGreen')",9
DDQN,NA,NA,aliens,1,18,"('ENDOFSCREEN', 'bomb')",7
DDQN,NA,NA,aliens,1,18,"('ENDOFSCREEN', 'avatar')",4
DDQN,NA,NA,aliens,1,18,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,1,18,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,18,"('alienGreen', 'sam')",1
DDQN,NA,NA,aliens,1,19,"('alienGreen', 'portalFast')",60
DDQN,NA,NA,aliens,1,19,"('avatar', 'sam')",7
DDQN,NA,NA,aliens,1,19,"('base', 'sam')",2
DDQN,NA,NA,aliens,1,19,"('alienGreen', 'bomb')",4
DDQN,NA,NA,aliens,1,19,"('base', 'bomb')",2
DDQN,NA,NA,aliens,1,19,"('alienGreen', 'sam')",3
DDQN,NA,NA,aliens,1,19,"('ENDOFSCREEN', 'sam')",4
DDQN,NA,NA,aliens,1,19,"('ENDOFSCREEN', 'bomb')",1
DDQN,NA,NA,aliens,1,19,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,1,19,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,20,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,20,"('avatar', 'sam')",36
DDQN,NA,NA,aliens,1,20,"('base', 'sam')",12
DDQN,NA,NA,aliens,1,20,"('alienGreen', 'bomb')",94
DDQN,NA,NA,aliens,1,20,"('base', 'bomb')",24
DDQN,NA,NA,aliens,1,20,"('ENDOFSCREEN', 'bomb')",32
DDQN,NA,NA,aliens,1,20,"('ENDOFSCREEN', 'alienGreen')",48
DDQN,NA,NA,aliens,1,20,"('alienGreen', 'sam')",15
DDQN,NA,NA,aliens,1,20,"('ENDOFSCREEN', 'sam')",23
DDQN,NA,NA,aliens,1,20,"('bomb', 'sam')",6
DDQN,NA,NA,aliens,1,20,"('ENDOFSCREEN', 'avatar')",17
DDQN,NA,NA,aliens,1,20,"('alienGreen', 'base')",2
DDQN,NA,NA,aliens,1,20,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,1,21,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,1,21,"('avatar', 'sam')",53
DDQN,NA,NA,aliens,1,21,"('base', 'sam')",20
DDQN,NA,NA,aliens,1,21,"('alienGreen', 'bomb')",92
DDQN,NA,NA,aliens,1,21,"('base', 'bomb')",21
DDQN,NA,NA,aliens,1,21,"('ENDOFSCREEN', 'sam')",32
DDQN,NA,NA,aliens,1,21,"('alienGreen', 'sam')",20
DDQN,NA,NA,aliens,1,21,"('ENDOFSCREEN', 'alienGreen')",44
DDQN,NA,NA,aliens,1,21,"('ENDOFSCREEN', 'bomb')",45
DDQN,NA,NA,aliens,1,21,"('alienGreen', 'base')",2
DDQN,NA,NA,aliens,1,21,"('ENDOFSCREEN', 'avatar')",17
DDQN,NA,NA,aliens,2,22,"('alienBlue', 'portalSlow')",115
DDQN,NA,NA,aliens,2,22,"('avatar', 'sam')",44
DDQN,NA,NA,aliens,2,22,"('base', 'sam')",17
DDQN,NA,NA,aliens,2,22,"('ENDOFSCREEN', 'sam')",26
DDQN,NA,NA,aliens,2,22,"('alienBlue', 'bomb')",46
DDQN,NA,NA,aliens,2,22,"('base', 'bomb')",16
DDQN,NA,NA,aliens,2,22,"('alienBlue', 'sam')",15
DDQN,NA,NA,aliens,2,22,"('bomb', 'sam')",4
DDQN,NA,NA,aliens,2,22,"('ENDOFSCREEN', 'alienBlue')",17
DDQN,NA,NA,aliens,2,22,"('ENDOFSCREEN', 'bomb')",18
DDQN,NA,NA,aliens,2,22,"('ENDOFSCREEN', 'avatar')",2
DDQN,NA,NA,aliens,2,22,"('alienBlue', 'base')",2
DDQN,NA,NA,aliens,2,22,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,2,23,"('alienBlue', 'portalSlow')",136
DDQN,NA,NA,aliens,2,23,"('avatar', 'sam')",28
DDQN,NA,NA,aliens,2,23,"('base', 'sam')",16
DDQN,NA,NA,aliens,2,23,"('ENDOFSCREEN', 'sam')",11
DDQN,NA,NA,aliens,2,23,"('alienBlue', 'bomb')",27
DDQN,NA,NA,aliens,2,23,"('base', 'bomb')",16
DDQN,NA,NA,aliens,2,23,"('ENDOFSCREEN', 'alienBlue')",13
DDQN,NA,NA,aliens,2,23,"('ENDOFSCREEN', 'bomb')",6
DDQN,NA,NA,aliens,2,23,"('alienBlue', 'sam')",7
DDQN,NA,NA,aliens,2,23,"('ENDOFSCREEN', 'avatar')",21
DDQN,NA,NA,aliens,2,23,"('portalSlow', 'sam')",2
DDQN,NA,NA,aliens,2,23,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,2,23,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,2,24,"('alienBlue', 'portalSlow')",123
DDQN,NA,NA,aliens,2,24,"('avatar', 'sam')",34
DDQN,NA,NA,aliens,2,24,"('base', 'sam')",18
DDQN,NA,NA,aliens,2,24,"('alienBlue', 'bomb')",27
DDQN,NA,NA,aliens,2,24,"('base', 'bomb')",18
DDQN,NA,NA,aliens,2,24,"('ENDOFSCREEN', 'sam')",15
DDQN,NA,NA,aliens,2,24,"('ENDOFSCREEN', 'avatar')",13
DDQN,NA,NA,aliens,2,24,"('ENDOFSCREEN', 'alienBlue')",16
DDQN,NA,NA,aliens,2,24,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,2,24,"('alienBlue', 'sam')",11
DDQN,NA,NA,aliens,2,24,"('portalSlow', 'sam')",3
DDQN,NA,NA,aliens,2,24,"('ENDOFSCREEN', 'bomb')",6
DDQN,NA,NA,aliens,2,24,"('alienBlue', 'base')",1
DDQN,NA,NA,aliens,2,24,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,2,25,"('alienBlue', 'portalSlow')",129
DDQN,NA,NA,aliens,2,25,"('avatar', 'sam')",30
DDQN,NA,NA,aliens,2,25,"('base', 'sam')",14
DDQN,NA,NA,aliens,2,25,"('ENDOFSCREEN', 'sam')",15
DDQN,NA,NA,aliens,2,25,"('alienBlue', 'bomb')",32
DDQN,NA,NA,aliens,2,25,"('base', 'bomb')",17
DDQN,NA,NA,aliens,2,25,"('ENDOFSCREEN', 'bomb')",10
DDQN,NA,NA,aliens,2,25,"('ENDOFSCREEN', 'avatar')",10
DDQN,NA,NA,aliens,2,25,"('ENDOFSCREEN', 'alienBlue')",22
DDQN,NA,NA,aliens,2,25,"('portalSlow', 'sam')",2
DDQN,NA,NA,aliens,2,25,"('alienBlue', 'sam')",13
DDQN,NA,NA,aliens,2,25,"('bomb', 'sam')",2
DDQN,NA,NA,aliens,2,25,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,2,26,"('alienBlue', 'portalSlow')",100
DDQN,NA,NA,aliens,2,26,"('avatar', 'sam')",20
DDQN,NA,NA,aliens,2,26,"('base', 'sam')",10
DDQN,NA,NA,aliens,2,26,"('ENDOFSCREEN', 'sam')",10
DDQN,NA,NA,aliens,2,26,"('alienBlue', 'bomb')",23
DDQN,NA,NA,aliens,2,26,"('base', 'bomb')",13
DDQN,NA,NA,aliens,2,26,"('alienBlue', 'sam')",6
DDQN,NA,NA,aliens,2,26,"('ENDOFSCREEN', 'alienBlue')",7
DDQN,NA,NA,aliens,2,26,"('ENDOFSCREEN', 'avatar')",8
DDQN,NA,NA,aliens,2,26,"('ENDOFSCREEN', 'bomb')",3
DDQN,NA,NA,aliens,2,26,"('portalSlow', 'sam')",1
DDQN,NA,NA,aliens,2,26,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,2,27,"('alienBlue', 'portalSlow')",143
DDQN,NA,NA,aliens,2,27,"('avatar', 'sam')",80
DDQN,NA,NA,aliens,2,27,"('base', 'sam')",13
DDQN,NA,NA,aliens,2,27,"('ENDOFSCREEN', 'sam')",66
DDQN,NA,NA,aliens,2,27,"('alienBlue', 'bomb')",65
DDQN,NA,NA,aliens,2,27,"('base', 'bomb')",27
DDQN,NA,NA,aliens,2,27,"('alienBlue', 'sam')",20
DDQN,NA,NA,aliens,2,27,"('ENDOFSCREEN', 'alienBlue')",36
DDQN,NA,NA,aliens,2,27,"('ENDOFSCREEN', 'bomb')",21
DDQN,NA,NA,aliens,2,27,"('ENDOFSCREEN', 'avatar')",44
DDQN,NA,NA,aliens,2,27,"('portalSlow', 'sam')",1
DDQN,NA,NA,aliens,2,27,"('alienBlue', 'base')",1
DDQN,NA,NA,aliens,2,27,"('bomb', 'sam')",1
DDQN,NA,NA,aliens,3,28,"('alienGreen', 'portalFast')",117
DDQN,NA,NA,aliens,3,28,"('avatar', 'sam')",20
DDQN,NA,NA,aliens,3,28,"('alienGreen', 'bomb')",29
DDQN,NA,NA,aliens,3,28,"('base', 'bomb')",1
DDQN,NA,NA,aliens,3,28,"('ENDOFSCREEN', 'sam')",20
DDQN,NA,NA,aliens,3,28,"('ENDOFSCREEN', 'avatar')",4
DDQN,NA,NA,aliens,3,28,"('ENDOFSCREEN', 'bomb')",19
DDQN,NA,NA,aliens,3,28,"('ENDOFSCREEN', 'alienGreen')",17
DDQN,NA,NA,aliens,3,28,"('alienGreen', 'sam')",11
DDQN,NA,NA,aliens,3,28,"('alienGreen', 'base')",3
DDQN,NA,NA,aliens,3,28,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,3,29,"('alienGreen', 'portalFast')",66
DDQN,NA,NA,aliens,3,29,"('avatar', 'sam')",9
DDQN,NA,NA,aliens,3,29,"('ENDOFSCREEN', 'sam')",8
DDQN,NA,NA,aliens,3,29,"('alienGreen', 'bomb')",10
DDQN,NA,NA,aliens,3,29,"('base', 'bomb')",1
DDQN,NA,NA,aliens,3,29,"('ENDOFSCREEN', 'avatar')",4
DDQN,NA,NA,aliens,3,29,"('ENDOFSCREEN', 'bomb')",5
DDQN,NA,NA,aliens,3,29,"('ENDOFSCREEN', 'alienGreen')",2
DDQN,NA,NA,aliens,3,29,"('alienGreen', 'sam')",2
DDQN,NA,NA,aliens,3,29,"('bomb', 'sam')",3
DDQN,NA,NA,aliens,3,29,"('avatar', 'bomb')",1
DDQN,NA,NA,aliens,3,30,"('alienGreen', 'portalFast')",98
DDQN,NA,NA,aliens,3,30,"('avatar', 'sam')",14
DDQN,NA,NA,aliens,3,30,"('ENDOFSCREEN', 'sam')",14
